2792;NIRSpec Spectroscopy of a Remarkably Luminous Galaxy at z=10.19;Yuichi Harikane;12;2.92;NIRCam/Imaging,NIRSpec/FS
3368;A JWST Survey of Ultraluminous Infrared Galaxies;Lee Armus, Aaron Evans;0;97.72;MIRI/Imaging,MIRI/MRS,NIRCam/Imaging,NIRSpec/IFU
3383;JWST Wide Area 3D Parallel Survey;Karl Glazebrook, Gabriel Brammer;0;0;NIRISS/WFSS
3426;Confirming the population of disk galaxies at z&gt:3;Tucker Jones;12;28.01;NIRSpec/MOS
3432;A Unique Characterization of Early Quenching in a Young, Transitional Cluster at z=1.84 with NGDEEP and JEMS;Stacey Alberts;0;0;&nbsp;
3433;Mapping star formation and feedback in clumpy galaxies at redshift ~5;Johan Richard, Angela Adamo and Miroslava Dessauges-Zavadsky;12;38.16;NIRCam/Imaging,NIRSpec/IFU
3435;The JWST Whirlpool Galaxy Treasury;Karin Sandstrom, Daniel Dale;0;61.91;MIRI/Imaging,MIRI/MRS,NIRCam/Imaging,NIRSpec/IFU
3468;Measuring the Hubble constant with the next multiple-imaged lensed supernova;Ariel Goobar;12;2.9;NIRCam/Imaging,NIRSpec/IFU
3507;When Does the Initial Mass Function Become Bottom-heavy?;Tania Barone;12;11.06;NIRSpec/IFU
3516;All the Little Things: Pop III Signatures &amp: the Ionizing Photon Budget of Dwarf Galaxies in the Epoch of Reionization;Jorryt Matthee, Rohan Naidu;0;47.13;NIRCam/WFSS
3538;Unveiling the properties of high-redshift low/intermediate-mass galaxies in Lensing fields with NIRCam Wide Field Slitless Spectroscopy;Edoardo Iani;0;64.14;NIRCam/WFSS
3543;Old Galaxies in the young Universe: Ultra-deep continuum spectroscopy before cosmic noon;Adam Carnall, Fergus Cullen;12;72.58;NIRSpec/MOS
3547;Revealing the early phase of the co-evolution of galaxies and super-massive black holes at a z=3 proto-cluster core;Hideki Umehata;12;8.19;MIRI/MRS,NIRCam/Imaging
3567;A deep dive into the physics of the first massive quiescent galaxies in the Universe;Francesco Valentino;12;47.06;NIRCam/Imaging,NIRSpec/MOS
3577;Complete NIRCam Grism Redshift Survey (CONGRESS);nbsp;Eiichi Egami,&nbsp;Fengwu Sun;0;27.4;NIRCam/WFSS
3659;What quenched the first massive quiescent galaxy? A comprehensive analysis from stellar kinematics to gas emission lines;Francesco D&#39;Eugenio;12;23.75;NIRSpec/IFU
3703;Breaking the z=10 barrier with MIRI: Redshift confirmation and detection of rest-frame optical emission lines;Jorge Zavala;12;24.33;MIRI/LRS
3707;A JWST Census of the Local Galaxy Population: Anchoring the Physics of the Matter Cycle;Adam Leroy, Eva Schinnerer, Janice Lee, Karin Sandstrom, Kathryn Kreckel and others*;0;148.84;MIRI/Imaging,NIRCam/Imaging
3722;A new window onto star formation regulation in the most intense, dusty starbursts in the early Universe;Nicole Nesvadba;12;16.59;MIRI/MRS,NIRSpec/IFU
3743;You (Don&rsquo:t?) Spin Me Round: Resolving Disk Formation in High-Redshift Dusty Starburst Galaxies;Justin Spilker;12;40.78;MIRI/Imaging,NIRCam/Imaging,NIRSpec/IFU
3767;Characterizing the Sources of Ionizing Photons in the Epoch of Reionization;Romain Meyer;12;10.62;NIRSpec/IFU
3777;The LAHst of Us: A Sub-kiloparsec View Into The Origins Of a Strongly-Lensed Lyman Alpha Halo at z=3;Manuel Solimano;12;6.76;NIRSpec/IFU
3794;MEGA Mass Assembly at Cosmic Noon: MIRI EGS Galaxy and AGN Survey;nbsp;Allison Kirkpatrick;12;67.5;MIRI/Imaging
3807;Deep grism spectroscopy of the complex environment around an extremely red quasar within an ultramassive host at z=3;Caroline Bertemes;12;5.23;NIRISS/WFSS
3843;Resolving Star Formation at the Star Cluster Scale Down to ~30 pc at z=2.5;Matthew Bayliss;12;14.9;NIRCam/Imaging,NIRSpec/IFU
3905;Data-Driven Wisp Templates and Flat Fields for NIRCam;Benjamin Johnson, Daniel Eisenstein;0;0;&nbsp;
3954;Luminous and dark matter in massive galaxies at z=4-5;Federico Lelli, Francesco Belfiore and Giovanni Cresci;12;24.92;MIRI/Imaging,NIRCam/Imaging
3960;The Effect of Extreme ISM Conditions on Polycyclic Aromatic Hydrocarbon (PAH) Properties;Stacey Alberts;12;14.05;MIRI/MRS,NIRSpec/IFU
3990;A NIRCam Pure-Parallel Imaging Survey of Galaxies Across the Universe;Takahiro Morishita, Charlotte Mason, Tommaso Treu, and Michele Trenti;0;0;NIRCam/Imaging
4043;Unveiling the build-up of large scale structure in the early Universe;Callum Witten;0;19.89;NIRCam/WFSS
4106;Extremely massive galaxies in the early universe: A challenge to Lambda-CDM?;Erica Nelson, Ivo Labbe;12;13.98;NIRSpec/MOS
4111;Medium bands, Mega Science: Spatially-resolved R~15 spectrophotometry of 50,000 sources at z=0.3-12;Katherine Suess;0;48.02;NIRCam/Imaging
4125;Galaxies Under Construction: Resolved Scaling Relations and Stellar Mass Assembly as Revealed by Lensed Star-Forming Clumps at Cosmic Noon;Michael Florian, Gourav Khullar;12;67.64;NIRCam/Imaging,NIRSpec/IFU
4192;Revealing our past faux PAHs: Unveiling the hidden drivers of ISM conditions at cosmic noon;Stacey Alberts;12;24.77;MIRI/LRS
4196;How to Form a Compact Massive Galaxy: Spatially Resolved Maps of Pa-beta at z=2.3;Justus Gibson;12;2.69;NIRSpec/IFU
4212;Unveiling the Most Distant Lensed Arc at z~10;Larry Bradley;3;10.06;NIRCam/Imaging,NIRSpec/MOS
4233;A complete census of the rare, extreme and red: A NIRCam-selected extragalactic community survey with JWST/NIRSpec;Anna de Graaff, Gabriel Brammer;0;57.89;NIRSpec/MOS
4246;Physical Properties of a Possible Galaxy Merger at z=10.2;Abdurro&#39;uf Abdurro&#39;uf;0;16.14;MIRI/MRS,NIRCam/Imaging,NIRSpec/MOS
4256;Dust imaging of low metallicity molecular clouds in NGC 6822 and WLM;Adam Leroy;12;10.35;MIRI/Imaging
4278;Tracing molecular gas in nearby metal-poor systems: The keys to unlocking star-formation in the early universe;Matilde Mingozzi;12;23.99;MIRI/MRS
4287;Deep Spectroscopy of the First Ionized Bubbles: New Insight into the Beginning of Reionization;Charlotte Mason, Daniel Stark;12;21.79;NIRSpec/MOS
4291;Galaxy angular momentum alignment with filaments at z ~ 3: The effect of large scale structure on galaxies;nbsp;Susan Kassin,&nbsp;Camilla Pacifici;
;0;67.8/0
4318;Is there Evidence of alpha-Enhancement in Massive Quiescent Galaxies at z &gt: 3?;Jacqueline Antwi-Danso, Casey Papovich;12;11.16;NIRSpec/MOS
4368;Completing the SMACS 0723 NIRISS WFSS EROs;Gael Noirot, Marcin Sawicki;0;3.6;NIRISS/WFSS
4369;A New-Generation of Synthetic Stellar Population Spectral Models Containing Stellar Binaries;Jeff Andrews;0;0;&nbsp;
3117;Mapping Quasar Light Echoes with Lyman-alpha Forest Tomography during the Epoch of Reionization;nbsp;Anna-Christina Eilers,&nbsp;Jorryt Matthee,&nbsp;Rohan Naidu, and&nbsp;Frederick Davies;12;20.9;NIRSpec/MOS
3445;Shaken and Stirred: Shocks and Turbulence in the Stephan&#39:s Quintet Warm Molecular Filament;Philip Appleton, Pierre Guillard and Bjorn Emonts;12;22.0;MIRI/MRS
3526;Probing Reionization and Early Cosmic Enrichment with the MgII Forest;Joseph Hennawi, Suk Sien Tie;12;19.76;NIRSpec/FS
3629;Direct detection of molecular gas reservoir in the circumgalactic medium of a brightest cluster galaxy;Allison Man, Paola Andreani and Laya Ghodsi;12;4.31;MIRI/MRS
4056;Shedding Light on Early Structure Formation: Dissecting the Largest Gas Reservoirs of z=6.6 QSOs;Emanuele Farina;12;8.83;NIRSpec/IFU
4092;How Does Reionization End? A Search for [O III] Emitters in the Most Transparent Regions of the IGM Near Redshift Six;George Becker;12;24.54;NIRCam/WFSS
2875;Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension;Adam Riess;12;15.97;NIRCam/Imaging
2974;The Hubble constant at 1.9% from spatially resolved kinematics of gravitational lens;nbsp;Tommaso Treu,&nbsp;Anowar J. Shajib;12;36.3;NIRSpec/IFU
3055;A TRGB Calibration of Surface Brightness Fluctuations;R. Tully;12;46.83;NIRCam/Imaging
3325;Mapping the Most Extreme Protoclusters in the Epoch of Reionization;Feige Wang,&nbsp;Jinyi Yang;12;44.51;NIRCam/WFSS,NIRSpec/IFU,NIRSpec/MOS
3950;Unlocking the Early Universe for Weak Lensing with JWST: High-Precision Analysis of z=2 Galaxy Cluster XLSSC122;Kyle Finner;12;4.99;NIRCam/Imaging
4265;Unveiling the interplay between the circumgalactic and interstellar media in a complex protocluster environment at z=4.5;Jorge Gonzalez Lopez, Manuel Aravena;12;17.03;NIRCam/Imaging,NIRSpec/IFU,NIRSpec/MOS
2820;Deciphering the silicate composition of Centaurs and small TNOs;Pierre Vernazza;12;21.15;MIRI/LRS,MIRI/MRS
2869;The interiors of Jupiter Trojans as tracers of Solar System evolution;Michael Brown;12;4.47;NIRSpec/IFU
2876;Probing Water Ice in Distant Comets: Crystalline or Amorphous?;Bin Yang, Michael Kelley;12;12.62;NIRSpec/IFU
3195;Are M-Type asteroids the remnant core fragments of the planetesimals?;Katherine de Kleer;12;22.28;MIRI/MRS
3665;Unveiling Jupiter&rsquo:s upper atmosphere and constraining atmospheric loss from Giant Planets;Tom Stallard, Henrik Melin;12;22.18;NIRSpec/IFU
3701;Searching for ultra-faint trans-Neptunian objects in archival NIRCam calibration data;David Trilling;0;0;&nbsp;
3716;The Saturnian satellites as a laboratory for CO2 in the outer solar system;Michael Brown;12;19.25;NIRSpec/IFU
3760;Investigating the cause of the 3 &micro:m absorption feature on asteroids;Anicia Arredondo;12;8.97;MIRI/MRS,NIRSpec/IFU
3979;Are dark, red, small KBOs devoid of volatiles?;Susan Benecchi, Wesley Fraser;12;24.79;NIRCam/Imaging
3991;Small Cold Classical TNOs as Witnesses of Outer Nebular Chemistry;Will Grundy;12;26.25;NIRSpec/IFU
4023;Complete NIRSpec coverage of Europa&#39:s surface: CO2, salt hydrates, and the potential for unexpected discovery;Samantha Trumbo;12;5.97;NIRSpec/IFU
4028;Deciphering Jupiter&#39:s Irregular Satellites: A Critical Test of Giant Planet Migration;Benjamin Sharkey;12;15.09;MIRI/LRS,NIRSpec/IFU
4078;Mass-loss from Io&rsquo:s volcanic atmosphere: A unique synergy with the Juno Io fly-by;Katherine de Kleer;12;4.3;MIRI/MRS
4116;Close up samples of Exoplanetary Systems: Characterizing the next Interstellar Object;Karen Meech;12;17.39;NIRCam/Imaging,NIRSpec/IFU
4198;Multi-Cycle monitoring of the volatile evolution of a returning planetesimal as it approaches perihelion;Bryce Bolin;12;8.22;NIRCam/Imaging,NIRSpec/IFU
4250;Characterization of Water Outgassing in Main-Belt Comets 133P/Elst-Pizarro and 358P/PANSTARRS;Henry Hsieh;12;8.82;NIRCam/Imaging,NIRSpec/IFU
4320;Seeking New Clues to the Habitability and Plume Activity of the Ocean World Enceladus using JWST-NIRSpec;Christopher Glein;12;3.44;NIRSpec/IFU
2896;Confirming the Formation of a Black Hole;Chris Kochanek;12;1.48;MIRI/Imaging
2905;First look at high redshift Type Ia supernova cores: Nebular observations of lensed SN Zwicky;Suhail Dhawan;12;4.24;NIRCam/Imaging,NIRSpec/IFU
2919;Life After Death: Finding Water in a Planetary Disk around a White Dwarf;Mukremin Kilic;12;7.23;MIRI/Imaging,MIRI/MRS,NIRSpec/FS
2965;Clouds or Chemistry?: Pinpointing the drivers of variability across the L/T transition via the benchmark L/T binary WISE 1049AB;Beth Biller;12;19.34;MIRI/LRS,NIRSpec/BOTS
3010;Spectroscopy of molecules and dust production in carbon stars;Greg Sloan, Kathleen Kraemer;12;15.12;MIRI/MRS
3131;The nature of the compact object in SN 1987A;Josefin Larsson, Margaret Meixner and Claes Fransson;12;18.87;NIRSpec/IFU
3134;The Origins of Hostless Short Gamma-ray Bursts;Benjamin Gompertz;12;22.6;NIRCam/Imaging
3168;Ultracool White Dwarfs: Cool or Not So Cool?;Simon Blouin;12;13.34;MIRI/LRS,NIRSpec/FS
3225;What are the real mass loss rates of massive stars?;Miriam Garcia;12;66.99;NIRSpec/FS
3245;Up to the Task? A New Generation of Atmospheric and Interior Models of Brown Dwarfs for the JWST Era;Sagnick Mukherjee;0;0;&nbsp;
3295;Is there enough? Cosmic dust formation in normal core-collapse supernovae in the first ~5 years post-explosion;David Sand;12;22.01;MIRI/Imaging
3375;Dancing 1 - 14 micron spectra to solve the cloudy and chemical puzzle of brown dwarf variability;Niall Whiteford, Yifan Zhou;0;24.31;MIRI/LRS,NIRSpec/BOTS
3384;Testing the Jet Origin of the Mysterious Infrared Excess in Quiescent Black Hole Binaries;Robert Hynes;12;7.43;MIRI/Imaging
3414;HH24: A Jet Complex driven by a Young Multiple System;Bo Reipurth;12;4.28;NIRCam/Imaging
3477;EPISODE: EC 53, the only known Periodically variable Infant Star to chase the Outburst in the next Dynamical Event;Jeong-Eun Lee;12;6.4;MIRI/MRS,NIRSpec/IFU
3486;Equator-to-Pole Atmospheric Differences in Giant Exoplanet Analogs;Johanna Vos;12;9.5;MIRI/LRS,NIRSpec/FS
3496;How Deep are the Winds in an Extrasolar World?;Johanna Vos;12;18.98;NIRSpec/BOTS
3523;Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2;nbsp;Mario Guarcello, Morten Andersen, William Best, Daniela Calzetti, Mario Gennaro and others*;12;24.7;MIRI/Imaging,NIRCam/Imaging
3548;Exometeorology: Weather on an Isolated World Beyond Our Own;Johanna Vos;12;8.89;MIRI/LRS,NIRSpec/BOTS
3558;The First Spectrum of the Coldest Halo Brown Dwarf;Aaron Meisner;12;7.66;MIRI/Imaging,MIRI/LRS,NIRSpec/FS
3589;How big do stars get? A NIRCam view of cool supergiants in, NGC 4449, a key low-metallicity environment;Lee Patrick, Tomer Shenar;12;12.0;NIRCam/Imaging
3593;Towards Solving the Stellar Inhomogeneity Contamination of Exoplanet Transmission Spectra Problem with Star Spot and Faculae Spectra;Sara Seager;0;0;&nbsp;
3596;Time-dependent dust heating and reverberation in the disk of the highly accreting classical T Tauri star DR Tau;Agnes Kospal;12;7.96;NIRISS/SOSS
3670;Sinking silicates: Tracing rainout across the LT transition;Ben Burningham, Jacqueline Faherty;12;19.0;MIRI/LRS,NIRSpec/FS
3726;Examining the Heart of Type Ia Supernova 2021aefx with Ultra-Late Time Spectra;James DerKacy, Melissa Shahbandeh, Peter Hoeflich, and Eddie Baron;0;2.23;MIRI/LRS,NIRSpec/FS
3738;Exploring the dramatic fading of SN2010da / NGC 300 ULX-1 with JWST;Emma Beasor;12;7.33;MIRI/MRS,NIRSpec/IFU
3762;Stringent Tests of Atmospheric and Evolutionary Models with a Benchmark T Dwarf Companion;Jerry Xuan;12;3.2;MIRI/LRS,NIRSpec/FS
3772;N6946-BH1: The first failed superova or a massive stellar eruption?;Emma Beasor;12;4.19;MIRI/Imaging,NIRCam/Imaging
3779;The MIRI MRS Library;Danny Gasman, Ioannis Argyriou Tsikrikonis;0;29.75;MIRI/MRS
3855;Catching stellar winds with the JWST: A NIRSpec study of O stars&nbsp:&nbsp:in the low-metallicity&nbsp:&nbsp:young cluster NGC346;Lidia Oskinova;12;9.24;NIRSpec/FS
3889;Identifying the heaviest of the heavy elements synthesized in neutron star mergers;Mansi Kasliwal;0;24.86;MIRI/Imaging,MIRI/LRS,NIRSpec/FS
3921;Building a Modern Sample of Dusty Supernovae with JWST;Ori Fox;0;0;MIRI/Imaging
3930;An R~100 MIRI 5-14 micron Spectral Library for Brown Dwarf and Exoplanetary Science;Stanimir Metchev, Genaro Suarez;3;0;MIRI/LRS
3964;The MIRI Excess Around Degenerates Survey;Sabrina Poulsen, John Debes and Fergal Mullally;0;0;MIRI/Imaging
4084;Probing the Depths:&nbsp:&nbsp:Disequilibrium Chemistry as a Tracer of Mixing Processes in Brown Dwarf Atmospheres;Brittany Miles, Sagnick Mukherjee and Jonathan Fortney;12;7.61;NIRSpec/FS
4181;Infrared Spectroscopy of a Neutron Star Merger with JWST;Ryan Chornock;0;23.21;MIRI/Imaging,MIRI/LRS,NIRSpec/FS
4217;Probing Early Dust Formation in the Universe via Stripped-Envelope Supernovae;Melissa Shahbandeh, Chris Ashall, Peter Hoeflich, and Eddie Baron;0;9.48;MIRI/LRS,NIRSpec/FS
4332;A JWST IFU deep study of gas, dust, and PAHs in a prototypical externally illuminated protoplanetary disk;Silvia Vicente, Wing-Fai Thi;12;8.82;MIRI/MRS,NIRSpec/IFU
4343;Hunting for IMBHs in the Omega Centauri Globular Cluster;Oleg Kargaltsev;12;4.8;MIRI/Imaging,NIRCam/Imaging
2918;Does the Stellar Initial Mass Function Depend on Metallicity?;Roger Cohen;12;5.69;NIRCam/Imaging
2957;The search for Population III stars in low-metallicity 7&lt:z&lt:9.5 galaxies;Hannah Uebler, Roberto Maiolino;12;46.28;NIRSpec/IFU
2987;Resolving HII Regions and ISM Structure Across the Milky Way Analog NGC 253;Adam Leroy, Enrico Congiu and Chris Faesi;0;22.06;MIRI/Imaging
3050;A Hot View of Cold Gas;Paul Goldsmith;12;22.94;MIRI/MRS
3162;Does star formation require molecular gas?;Simon Glover;12;12.83;MIRI/MRS
3166;Investigating the Role and the Physical State of Molecular Hydrogen in the Central Parsec of the Galaxy;Anna Ciurlo;12;14.0;MIRI/MRS
3177;Beholding star cluster formation, feedback, and evolution with the &#39:Evil Eye&#39:;Jiayi Sun, Erik Rosolowsky and Adam Leroy;12;3.15;MIRI/Imaging,NIRCam/Imaging
3222;Cask-strength clouds: high percentage of methanol and HDO ices;Maria Drozdovskaya;12;8.69;NIRCam/Imaging,NIRSpec/MOS
3226;Extremely metal-poor galaxies as laboratories for the first galaxies;Daniel Schaerer;12;24.45;MIRI/MRS
3248;The Variable Stars in the ERS WLM Observations;Evan Skillman;0;0;&nbsp;
3429;One-Stop Shopping: Pan-Metallicity PAH Benchmarking in M101;Christopher Clark;12;23.38;MIRI/Imaging,NIRCam/Imaging
3436;Unmixing the ISM: Identifying Dominant Physical Effects with JWST/MIRI Mapping of M33;Erik Rosolowsky;12;10.28;MIRI/Imaging
3449;Direct Detection of Molecular Gas in the Extremely Metal-Poor Galaxy Leo P;Grace Telford;12;15.41;MIRI/MRS
3503;Mapping the rapidly evolving interstellar medium of emerging young star clusters;Angela Adamo;12;7.55;NIRSpec/MOS
3510;Calibrating the Balmer Decrement against Everything in NGC 4214;Yumi Choi;12;5.53;NIRCam/Imaging
3533;A JWST high-definition view of an extremely metal-poor interstellar medium;Alessandra Aloisi, Leslie Hunt;12;24.4;MIRI/MRS
3571;MIRI observations of YSO candidates for Unambiguous Evidence of Star formation in the 10pc Molecular Ring Orbiting the Galactic Center Black Hole;Farhad Yusef-Zadeh;12;17.64;MIRI/Imaging
3702;Ice observations toward massive protostars in the low-metallicity Large Magellanic Cloud;nbsp;Marta Sewilo;12;11.2;MIRI/MRS,NIRSpec/IFU
3704;Identifying the fingerprints of heavy r-process elements with the James Webb Telescope;Eleonora Troja;0;24.94;MIRI/Imaging,NIRCam/Imaging,NIRSpec/FS
3768;A global view of a massive cluster in formation with JWST;nbsp;Morten Andersen,&nbsp;Jonathan Charles Tan;12;7.2;NIRCam/Imaging
3788;Alpha Elements and the Baryon Cycle in Isolated Dwarf Galaxies;Daniel Weisz;12;24.21;NIRSpec/MOS
3823;Dusting for PAH Fossil Records from Circumstellar Shells around WR 140;Ryan Lau;12;6.27;MIRI/Imaging,MIRI/LRS
3832;Quiescent Black Hole X-Ray Binaries in the Mid-IR: Relativistic Jet or Circumbinary Disk?;Elena Gallo;12;6.82;MIRI/Imaging,MIRI/LRS
3849;A Pristine IMF Probe of the Star-Forming Conditions in the Early Universe;Mario Gennaro;12;42.43;NIRCam/Imaging
3879;Aromatics versus Aliphatics: A PAH Diagnostic Tool for JWST;Aigen Li;0;0;&nbsp;
3907;Unveiling the Early Stages of Massive Binary Formation with JWST;Yichen Zhang, Jonathan Tan;12;7.8;NIRCam/Imaging
3958;The Sickle: Pillars of Creation in the Galactic Center;Angela Cotera-Hulet;12;5.84;MIRI/Imaging,NIRCam/Imaging
4026;Hot dust in the nearby metal-poor starburst galaxy CGCG 007-025: A window to the high redshift Universe;Ruben Sanchez-Janssen, Juan Fernandez Ontiveros;12;3.48;MIRI/MRS
4087;Refining the Mira Distance Ladder with NIRCam Observations of M101;Caroline Huang, Massimo Marengo;12;2.82;NIRCam/Imaging
4093;Fingerprinting the history of episodic dust creation in Wolf-Rayet binaries;Noel Richardson;12;13.42;MIRI/Imaging
4147;A Census of High- and Low-Mass Star Formation in a Galactic Center Molecular Cloud;Samuel Crowe, Jonathan Tan;12;3.93;NIRCam/Imaging
4201;The Butterfly Effect: Determining the distribution of ices across a young disk to constrain planet formation;Merel van &#39;t Hoff;12;15.4;MIRI/MRS,NIRSpec/IFU
4244;Are Luminous Red Novae major factories of cosmic dust?;Viraj Karambelkar, Ryan Lau;12;10.14;MIRI/Imaging,MIRI/LRS
4297;The Novel MIR Abundance Diagnostic Ne23;Noah Rogers;12;23.43;MIRI/MRS
4358;iCe astrocHemistry at the EdgE of a staR-formIng clOud (CHEERIO): Cha I;Zak Smith, Abraham Boogert and Jennifer Noble;12;20.08;NIRCam/WFSS
3017;High-resolution imaging of a compact lensed quasar at z=5.07 and a compound lensing system;Minghao Yue;12;2.49;NIRCam/Imaging
3038;An archival study of AGN host galaxies with JWST NIRCam imaging;Mingyang Zhuang, Yue Shen and Junyao Li;0;0;&nbsp;
3079;BEES: Black hole Extended Emission Search;Anna-Christina Eilers;12;19.64;NIRSpec/IFU
3084;First spatially resolved characterization of a radio-driven outflow at z~6;Eduardo Banados;12;13.97;NIRSpec/IFU
3149;A possible runaway supermassive black hole at the tip of a 62 kpc long linear feature;Pieter van Dokkum;12;10.89;NIRSpec/IFU
3158;JWST/MIRI unravels the impact of AGN feedback on star-formation at cosmic noon;Vincenzo Mainieri;12;19.28;MIRI/MRS
3257;A systematic search for warm molecular gas in AGN and star forming galaxies at z=2 with MIRI;Darshan Kakkad;12;25.95;MIRI/MRS
3303;Pinpointing Early Supermassive Black Holes and Star Formation with JWST and Chandra;Joseph Sterling, Nico Cappelluti;0;0;&nbsp;
3324;Sgr A* as Particle Accelerator: What Drives the Black Hole&#39:s Variable IR and X-ray Emission?;Joseph Hora, Daryl Haggard and Gunther Witzel;12;29.88;MIRI/MRS
3417;Unveiling Obscured Growth of Supermassive Black Holes in the Epoch of Reionization;Yoshiki Matsuoka, Masafusa Onoue;12;23.0;NIRSpec/FS
3428;Quasar Feedback and Supermassive Black Hole Demographics at z ~ 4-6;Weizhe Liu;6;0;NIRSpec/IFU
3535;Unveiling the AGN-host connection with PAH molecules;Ismael Garcia Bernete, Dimitra Rigopoulou;12;11.88;MIRI/MRS,NIRSpec/IFU
3559;NIRCam monitoring of the inner accretion flow of Sgr A* synchronous with EHT imaging of the black hole shadow;Farhad Yusef-Zadeh;12;23.37;NIRCam/Imaging
3655;Investigating the impact of quasar-driven outflows on recent star formation;Cristina Ramos Almeida;12;22.59;MIRI/MRS
3663;Big Impact in Little Galaxies? A JWST Investigation of AGN Outflows in Dwarf Galaxies;Thomas Bohn;12;21.94;NIRSpec/IFU
3671;Radio Jet Feedback in the Nearby Spiral Galaxy M58;Ivan Lopez, Patrick Ogle;12;16.73;MIRI/Imaging,MIRI/MRS,NIRCam/Imaging,NIRSpec/IFU
3696;A population of hidden tidal disruptions in the local universe: Revealing the energetics of the most luminous infrared transients with JWST;Kishalay De;12;18.45;MIRI/MRS
3805;A NIRSpec Look at the Emission and Gas Kinematics of the SMBH in the Milky Way Dwarf Satellite Leo I;Fabio Pacucci;12;12.38;NIRSpec/IFU
3859;Full Characterization of Starlight from a z=6.4 Quasar Host Galaxy;Masafusa Onoue, Xuheng Ding;12;10.96;NIRCam/Imaging
3869;Extreme Feedback in Action: Fast and Powerful Molecular Outflows in the Local Universe;Sylvain Veilleux;3;39.23;MIRI/MRS
4038;First Infrared Spectra of a Tidal Disruption Event Dust Echo: Solving the Missing Energy Problem;Sjoert van Velzen;12;4.08;MIRI/LRS,MIRI/MRS,NIRSpec/IFU
4065;Dusty Torus, Molecular Gas, Outflows, and Binary Nucleus in&nbsp:&nbsp:the Powerful Nearby Quasar Cygnus A;Patrick Ogle;12;9.14;MIRI/Imaging,MIRI/MRS,NIRSpec/IFU
4094;A Galaxy-Scale Fountain of Multiphase Gas Pumped by a Black Hole: The power of JWST combined with ALMA, MUSE, Chandra, and HST;Grant Tremblay;12;7.93;MIRI/MRS,NIRSpec/IFU
4204;A census of high-redshift kpc-scale dual quasars;Yu-Ching Chen;6;0;NIRCam/Imaging
4225;First spatially resolved characterization of the warm molecular torus in the Circinus galaxy;Takuma Izumi;12;3.25;MIRI/MRS
4237;AGB Feedback and Radio Jet Driven Outflows in 3C 305;nbsp;Patrick Ogle;12;15.1;MIRI/Imaging,MIRI/MRS,NIRCam/Imaging,NIRSpec/IFU
4339;NIRSpec IFU spectroscopy of the first active binary intermediate-mass black hole and its host galaxy;Igor Chilingarian;12;9.2;NIRSpec/IFU
